timestamp,linear_velocity,angular_velocity
1733716482.353605,0.0,0.0
1733716482.4539058,0.0,0.0
1733716482.5540936,0.0,0.0
1733716482.6543024,0.0,0.0
1733716482.754772,0.0,0.0
1733716482.8549306,0.0,0.0
1733716482.9552014,0.0,0.0
1733716483.0555346,0.0,0.0
1733716483.1557198,0.0,0.0
1733716483.2559693,0.0,0.0
1733716483.3562052,0.0,0.0
1733716483.36831,0.005,0.0
1733716483.4687724,0.01,0.0
1733716483.568983,0.01,0.0
1733716483.6691294,0.01,0.0
1733716483.769345,0.01,0.0
1733716483.8683832,0.015,0.0
1733716483.900781,0.02,0.0
1733716483.9342346,0.025,0.0
1733716483.9665697,0.030000000000000002,0.0
1733716484.000124,0.035,0.0
1733716484.032701,0.04,0.0
1733716484.0655165,0.045,0.0
1733716484.0985682,0.049999999999999996,0.0
1733716484.1322334,0.05499999999999999,0.0
1733716484.1645067,0.05999999999999999,0.0
1733716484.1974223,0.06499999999999999,0.0
1733716484.2310872,0.06999999999999999,0.0
1733716484.2646074,0.075,0.0
1733716484.2966573,0.08,0.0
1733716484.329739,0.085,0.0
1733716484.3623052,0.09000000000000001,0.0
1733716484.3954186,0.09500000000000001,0.0
1733716484.4294188,0.10000000000000002,0.0
1733716484.461802,0.10500000000000002,0.0
1733716484.495218,0.11000000000000003,0.0
1733716484.5280395,0.11500000000000003,0.0
1733716484.561007,0.12000000000000004,0.0
1733716484.5939195,0.12500000000000003,0.0
1733716484.6272328,0.13000000000000003,0.0
1733716484.6593833,0.13500000000000004,0.0
1733716484.6926455,0.14000000000000004,0.0
1733716484.7256353,0.14500000000000005,0.0
1733716484.7597685,0.15000000000000005,0.0
1733716484.7922146,0.15500000000000005,0.0
1733716484.8247144,0.16000000000000006,0.0
1733716484.8574197,0.16500000000000006,0.0
1733716484.8903651,0.17000000000000007,0.0
1733716484.9233866,0.17500000000000007,0.0
1733716484.9568002,0.18000000000000008,0.0
1733716484.9899647,0.18500000000000008,0.0
1733716485.0902324,0.19000000000000009,0.0
1733716485.1904156,0.1950000000000001,0.0
1733716485.2907152,0.2000000000000001,0.0
1733716485.3908753,0.2050000000000001,0.0
1733716485.4911768,0.2100000000000001,0.0
1733716485.5913439,0.2150000000000001,0.0
1733716485.6915212,0.22,0.0
1733716485.7916355,0.22,0.0
1733716485.891959,0.22,0.0
1733716485.9921732,0.22,0.0
1733716486.0924108,0.22,0.0
1733716486.1926534,0.22,0.0
1733716486.2928042,0.22,0.0
1733716486.393023,0.22,0.0
1733716486.4932244,0.22,0.0
1733716486.5933547,0.22,0.0
1733716486.6935647,0.22,0.0
1733716486.7937486,0.22,0.0
1733716486.894002,0.22,0.0
1733716486.9942272,0.22,0.0
1733716487.0565357,0.22,-0.05
1733716487.1568727,0.22,-0.1
1733716487.2569706,0.22,-0.1
1733716487.3571086,0.22,-0.1
1733716487.4573834,0.22,-0.1
1733716487.5574985,0.22,-0.1
1733716487.657774,0.22,-0.1
1733716487.6801686,0.22,-0.15000000000000002
1733716487.7805977,0.22,-0.2
1733716487.8807957,0.22,-0.2
1733716487.9809632,0.22,-0.2
1733716488.032248,0.22,-0.25
1733716488.1325898,0.22,-0.3
1733716488.2327695,0.22,-0.30000000000000004
1733716488.332978,0.22,-0.30000000000000004
1733716488.4159172,0.22,-0.35000000000000003
1733716488.5161908,0.22,-0.4
1733716488.6164916,0.22,-0.4
1733716488.716713,0.22,-0.4
1733716488.816874,0.22,-0.4
1733716488.8401058,0.22,-0.45
1733716488.940359,0.22,-0.5
1733716489.0405846,0.22,-0.5
1733716489.1408222,0.22,-0.5
1733716489.24107,0.22,-0.5
1733716489.247787,0.22,-0.55
1733716489.3480916,0.22,-0.6
1733716489.4482808,0.22,-0.6
1733716489.5485265,0.22,-0.6
1733716489.6489582,0.22,-0.6
1733716489.7040083,0.22,-0.65
1733716489.8042645,0.22,-0.7
1733716489.9045184,0.22,-0.7
1733716490.0047052,0.22,-0.7
1733716490.104987,0.22,-0.7
1733716490.2052178,0.22,-0.7
1733716490.3053937,0.22,-0.7
1733716490.4056349,0.22,-0.7
1733716490.4166071,0.22,-0.6499999999999999
1733716490.516765,0.22,-0.6
1733716490.617021,0.22,-0.6
1733716490.672523,0.22,-0.5499999999999999
1733716490.7727501,0.22,-0.5
1733716490.8729985,0.22,-0.5
1733716490.9731245,0.22,-0.5
1733716491.0733118,0.22,-0.5
1733716491.173572,0.22,-0.5
1733716491.2737377,0.22,-0.5
1733716491.3739781,0.22,-0.5
1733716491.474137,0.22,-0.5
1733716491.5743341,0.22,-0.5
1733716491.6745474,0.22,-0.5
1733716491.7748568,0.22,-0.5
1733716491.87526,0.22,-0.5
1733716491.9754817,0.22,-0.5
1733716492.0756202,0.22,-0.5
1733716492.1757612,0.22,-0.5
1733716492.2760062,0.22,-0.5
1733716492.3762982,0.22,-0.5
1733716492.4160466,0.22,-0.55
1733716492.516304,0.22,-0.6
1733716492.6165738,0.22,-0.6
1733716492.716775,0.22,-0.6
1733716492.817092,0.22,-0.6
1733716492.9172084,0.22,-0.6
1733716493.01739,0.22,-0.6
1733716493.1178367,0.22,-0.6
1733716493.217845,0.22,-0.6
1733716493.3181646,0.22,-0.6
1733716493.4184284,0.22,-0.6
1733716493.5185645,0.22,-0.6
1733716493.618827,0.22,-0.6
1733716493.7190707,0.22,-0.6
1733716493.8192823,0.22,-0.6
1733716493.9195688,0.22,-0.6
1733716493.9359202,0.22,-0.5499999999999999
1733716494.0362425,0.22,-0.5
1733716494.1364908,0.22,-0.5
1733716494.2367625,0.22,-0.5
1733716494.337045,0.22,-0.5
1733716494.4371345,0.22,-0.5
1733716494.5373917,0.22,-0.5
1733716494.6376271,0.22,-0.5
1733716494.688016,0.22,-0.45
1733716494.7882867,0.22,-0.4
1733716494.8885164,0.22,-0.4
1733716494.9887497,0.22,-0.4
1733716495.0889084,0.22,-0.4
1733716495.1443894,0.22,-0.35000000000000003
1733716495.2446418,0.22,-0.30000000000000004
1733716495.3448331,0.22,-0.30000000000000004
1733716495.424275,0.22,-0.25000000000000006
1733716495.5244524,0.22,-0.20000000000000007
1733716495.6247523,0.22,-0.15000000000000008
1733716495.7250876,0.22,-0.10000000000000007
1733716495.8253982,0.22,-0.10000000000000003
1733716495.8889625,0.22,-0.05000000000000003
1733716495.9891975,0.22,-2.7755575615628914e-17
1733716496.0893595,0.22,-2.7755575615628914e-17
1733716496.1895485,0.22,-2.7755575615628914e-17
1733716496.2240994,0.22,0.049999999999999975
1733716496.3243296,0.22,0.09999999999999998
1733716496.4245622,0.22,0.09999999999999998
1733716496.524749,0.22,0.09999999999999998
1733716496.6250613,0.22,0.09999999999999998
1733716496.7252326,0.22,0.09999999999999998
1733716496.7361398,0.22,0.14999999999999997
1733716496.836471,0.22,0.19999999999999996
1733716496.9366534,0.22,0.19999999999999998
1733716497.0369694,0.22,0.19999999999999998
1733716497.1371543,0.22,0.19999999999999998
1733716497.2372904,0.22,0.19999999999999998
1733716497.3374848,0.22,0.19999999999999998
1733716497.437787,0.22,0.19999999999999998
1733716497.537936,0.22,0.19999999999999998
1733716497.638149,0.22,0.19999999999999998
1733716497.7383902,0.22,0.19999999999999998
1733716497.8386533,0.22,0.19999999999999998
1733716497.9388962,0.22,0.19999999999999998
1733716498.0390522,0.22,0.19999999999999998
1733716498.0561993,0.22,0.14999999999999997
1733716498.1565151,0.22,0.09999999999999998
1733716498.2567346,0.22,0.09999999999999998
1733716498.3569179,0.22,0.09999999999999998
1733716498.4570868,0.22,0.09999999999999998
1733716498.557302,0.22,0.09999999999999998
1733716498.5767376,0.22,0.049999999999999975
1733716498.6768944,0.22,-2.7755575615628914e-17
1733716498.7771604,0.22,-2.7755575615628914e-17
1733716498.877392,0.22,-2.7755575615628914e-17
1733716498.9775648,0.22,-2.7755575615628914e-17
1733716499.0408149,0.22,-0.05000000000000003
1733716499.1411724,0.22,-0.10000000000000003
1733716499.2414486,0.22,-0.10000000000000003
1733716499.3415997,0.22,-0.10000000000000003
1733716499.4417467,0.22,-0.10000000000000003
1733716499.541967,0.22,-0.10000000000000003
1733716499.6422048,0.22,-0.10000000000000003
1733716499.7424438,0.22,-0.10000000000000003
1733716499.8426642,0.22,-0.10000000000000003
1733716499.9428864,0.22,-0.10000000000000003
1733716500.0430827,0.22,-0.10000000000000003
1733716500.143304,0.22,-0.10000000000000003
1733716500.2435236,0.22,-0.10000000000000003
1733716500.3437545,0.22,-0.10000000000000003
1733716500.4439044,0.22,-0.10000000000000003
1733716500.5442288,0.22,-0.10000000000000003
1733716500.644465,0.22,-0.10000000000000003
1733716500.7449286,0.22,-0.10000000000000003
1733716500.844971,0.22,-0.10000000000000003
1733716500.9451485,0.22,-0.10000000000000003
1733716501.0455415,0.22,-0.10000000000000003
1733716501.1456206,0.22,-0.10000000000000003
1733716501.2458198,0.22,-0.10000000000000003
1733716501.3460355,0.22,-0.10000000000000003
1733716501.4462357,0.22,-0.10000000000000003
1733716501.5464575,0.22,-0.10000000000000003
1733716501.6466753,0.22,-0.10000000000000003
1733716501.7469532,0.22,-0.10000000000000003
1733716501.8471093,0.22,-0.10000000000000003
1733716501.9473546,0.22,-0.10000000000000003
1733716502.0475805,0.22,-0.10000000000000003
1733716502.1478498,0.22,-0.10000000000000003
1733716502.2480812,0.22,-0.10000000000000003
1733716502.3483043,0.22,-0.10000000000000003
1733716502.360174,0.22,-0.15000000000000002
1733716502.4604282,0.22,-0.2
1733716502.560727,0.22,-0.20000000000000004
1733716502.6610072,0.22,-0.20000000000000004
1733716502.7611058,0.22,-0.20000000000000004
1733716502.8321645,0.22,-0.25000000000000006
1733716502.9323115,0.22,-0.30000000000000004
1733716503.0325892,0.22,-0.30000000000000004
1733716503.1328127,0.22,-0.30000000000000004
1733716503.2329834,0.22,-0.30000000000000004
1733716503.333177,0.22,-0.30000000000000004
1733716503.4333732,0.22,-0.30000000000000004
1733716503.5335693,0.22,-0.30000000000000004
1733716503.633814,0.22,-0.30000000000000004
1733716503.7339847,0.22,-0.30000000000000004
1733716503.8341982,0.22,-0.30000000000000004
1733716503.934395,0.22,-0.30000000000000004
1733716504.034693,0.22,-0.30000000000000004
1733716504.134923,0.22,-0.30000000000000004
1733716504.2352085,0.22,-0.30000000000000004
1733716504.3353655,0.22,-0.30000000000000004
1733716504.4356186,0.22,-0.30000000000000004
1733716504.5358338,0.22,-0.30000000000000004
1733716504.6360824,0.22,-0.30000000000000004
1733716504.7362344,0.22,-0.30000000000000004
1733716504.8365626,0.22,-0.30000000000000004
1733716504.9368222,0.22,-0.30000000000000004
1733716505.0369,0.22,-0.30000000000000004
1733716505.137314,0.22,-0.30000000000000004
1733716505.2375276,0.22,-0.30000000000000004
1733716505.3377237,0.22,-0.30000000000000004
1733716505.4379272,0.22,-0.30000000000000004
1733716505.5382507,0.22,-0.30000000000000004
1733716505.638482,0.22,-0.30000000000000004
1733716505.7387302,0.22,-0.30000000000000004
1733716505.8389192,0.22,-0.30000000000000004
1733716505.9392967,0.22,-0.30000000000000004
1733716506.039523,0.22,-0.30000000000000004
1733716506.1397266,0.22,-0.30000000000000004
1733716506.2400322,0.22,-0.30000000000000004
1733716506.340282,0.22,-0.30000000000000004
1733716506.4404626,0.22,-0.30000000000000004
1733716506.5405817,0.22,-0.30000000000000004
1733716506.6408803,0.22,-0.30000000000000004
1733716506.7411346,0.22,-0.30000000000000004
1733716506.8412457,0.22,-0.30000000000000004
1733716506.941418,0.22,-0.30000000000000004
1733716507.0416813,0.22,-0.30000000000000004
1733716507.1418257,0.22,-0.30000000000000004
1733716507.2421606,0.22,-0.30000000000000004
1733716507.3423326,0.22,-0.30000000000000004
1733716507.4426353,0.22,-0.30000000000000004
1733716507.5429425,0.22,-0.30000000000000004
1733716507.6431053,0.22,-0.30000000000000004
1733716507.7432635,0.22,-0.30000000000000004
1733716507.843558,0.22,-0.30000000000000004
1733716507.9437823,0.22,-0.30000000000000004
1733716508.0440307,0.22,-0.30000000000000004
1733716508.1442919,0.22,-0.30000000000000004
1733716508.2445064,0.22,-0.30000000000000004
1733716508.3446853,0.22,-0.30000000000000004
1733716508.4448802,0.22,-0.30000000000000004
1733716508.5451958,0.22,-0.30000000000000004
1733716508.6452687,0.22,-0.30000000000000004
1733716508.6960464,0.0,0.0
1733716508.796352,0.0,0.0
1733716508.8965368,0.0,0.0
1733716508.9967763,0.0,0.0
1733716509.0970073,0.0,0.0
1733716509.1972609,0.0,0.0
1733716509.297641,0.0,0.0
1733716509.3977275,0.0,0.0
1733716509.4979746,0.0,0.0
1733716509.598092,0.0,0.0
1733716509.6983194,0.0,0.0
1733716509.79853,0.0,0.0
1733716509.8988035,0.0,0.0
1733716509.9990015,0.0,0.0
1733716510.0991685,0.0,0.0
1733716510.1994064,0.0,0.0
1733716510.299673,0.0,0.0
1733716510.399885,0.0,0.0
1733716510.5001512,0.0,0.0
1733716510.6003652,0.0,0.0
1733716510.7006307,0.0,0.0
1733716510.8007073,0.0,0.0
1733716510.900972,0.0,0.0
1733716511.0012062,0.0,0.0
1733716511.1014497,0.0,0.0
1733716511.2018328,0.0,0.0
1733716511.3018916,0.0,0.0
1733716511.4021769,0.0,0.0
1733716511.5023866,0.0,0.0
1733716511.6024992,0.0,0.0
1733716511.7027838,0.0,0.0
1733716511.8030193,0.0,0.0
1733716511.9032617,0.0,0.0
1733716512.0035772,0.0,0.0
1733716512.1037319,0.0,0.0
1733716512.204018,0.0,0.0
1733716512.3041227,0.0,0.0
1733716512.4044166,0.0,0.0
1733716512.504774,0.0,0.0
1733716512.6049008,0.0,0.0
1733716512.7051303,0.0,0.0
1733716512.8051941,0.0,0.0
